time x y z x_d y_d z_d error_x error_y error_z
0.167 0.307005 5.50932e-05 0.486702 0.306942 3.97515e-05 0.486778 6.33956e-05 1.53418e-05 -7.56654e-05
0.168 0.307007 5.19011e-05 0.486703 0.306942 3.97515e-05 0.486778 6.50096e-05 1.21496e-05 -7.48113e-05
0.169 0.307008 5.39148e-05 0.486702 0.306942 3.97515e-05 0.486778 6.5756e-05 1.41633e-05 -7.62066e-05
0.17 0.307008 5.26877e-05 0.4867 0.306942 3.97515e-05 0.486778 6.57691e-05 1.29363e-05 -7.79209e-05
0.171 0.307008 5.23188e-05 0.486702 0.306942 3.97515e-05 0.486778 6.6259e-05 1.25673e-05 -7.55136e-05
0.172 0.307007 5.15061e-05 0.486701 0.306942 3.97515e-05 0.486778 6.4894e-05 1.17546e-05 -7.72269e-05
0.173 0.307008 5.44782e-05 0.486701 0.306942 3.97515e-05 0.486778 6.57885e-05 1.47268e-05 -7.67497e-05
0.174 0.307008 5.2625e-05 0.486704 0.306942 3.97515e-05 0.486778 6.58072e-05 1.28735e-05 -7.36978e-05
0.175 0.307007 5.36255e-05 0.486702 0.306942 3.97515e-05 0.486778 6.46168e-05 1.3874e-05 -7.61315e-05
0.176 0.307007 5.39405e-05 0.486703 0.306942 3.97515e-05 0.486778 6.51523e-05 1.4189e-05 -7.4767e-05
0.177 0.307009 5.22672e-05 0.486701 0.306942 3.97515e-05 0.486778 6.65207e-05 1.25157e-05 -7.71766e-05
0.178 0.307007 5.28247e-05 0.486701 0.306942 3.97515e-05 0.486778 6.46883e-05 1.30732e-05 -7.71332e-05
0.179 0.307007 5.47331e-05 0.486701 0.306942 3.97515e-05 0.486778 6.53234e-05 1.49817e-05 -7.67328e-05
0.18 0.307008 5.41939e-05 0.486701 0.306942 3.97515e-05 0.486778 6.61282e-05 1.44424e-05 -7.72084e-05
0.181 0.307008 5.35425e-05 0.486699 0.306942 3.97515e-05 0.486778 6.5528e-05 1.37911e-05 -7.88153e-05
0.182 0.307007 5.23066e-05 0.4867 0.306942 3.97515e-05 0.486778 6.48903e-05 1.25551e-05 -7.75894e-05
0.183 0.307008 5.51675e-05 0.4867 0.306942 3.97515e-05 0.486778 6.58899e-05 1.5416e-05 -7.79146e-05
0.184 0.307009 5.38404e-05 0.486698 0.306942 3.97515e-05 0.486778 6.7151e-05 1.40889e-05 -8.02199e-05
0.185 0.307008 5.32556e-05 0.4867 0.306942 3.97515e-05 0.486778 6.56238e-05 1.35041e-05 -7.82528e-05
0.186 0.307007 5.48712e-05 0.486701 0.306942 3.97515e-05 0.486778 6.50716e-05 1.51197e-05 -7.73393e-05
0.187 0.307008 5.35501e-05 0.486701 0.306942 3.97515e-05 0.486778 6.55657e-05 1.37986e-05 -7.70619e-05
0.188 0.307007 5.46613e-05 0.486701 0.306942 3.97515e-05 0.486778 6.53376e-05 1.49099e-05 -7.71333e-05
0.189 0.307007 5.39814e-05 0.486698 0.306942 3.97515e-05 0.486778 6.51191e-05 1.42299e-05 -8.01265e-05
0.19 0.307007 5.27062e-05 0.4867 0.306942 3.97515e-05 0.486778 6.5396e-05 1.29547e-05 -7.83389e-05
0.191 0.307008 5.30811e-05 0.486701 0.306942 3.97515e-05 0.486778 6.58163e-05 1.33297e-05 -7.67905e-05
0.192 0.307008 5.24615e-05 0.4867 0.306942 3.97515e-05 0.486778 6.57163e-05 1.271e-05 -7.79279e-05
0.193 0.307008 5.40414e-05 0.486701 0.306942 3.97515e-05 0.486778 6.61682e-05 1.42899e-05 -7.73329e-05
0.194 0.307008 5.52e-05 0.486699 0.306942 3.97515e-05 0.486778 6.63924e-05 1.54485e-05 -7.86568e-05
0.195 0.307008 5.48882e-05 0.4867 0.306942 3.97515e-05 0.486778 6.62582e-05 1.51368e-05 -7.78674e-05
0.196 0.307007 5.34783e-05 0.486702 0.306942 3.97515e-05 0.486778 6.54575e-05 1.37268e-05 -7.62661e-05
0.197 0.307009 5.57427e-05 0.486701 0.306942 3.97515e-05 0.486778 6.72518e-05 1.59912e-05 -7.72548e-05
0.198 0.307009 5.45182e-05 0.4867 0.306942 3.97515e-05 0.486778 6.65683e-05 1.47667e-05 -7.75434e-05
0.199 0.307009 5.16867e-05 0.4867 0.306942 3.97515e-05 0.486778 6.73683e-05 1.19352e-05 -7.83753e-05
0.2 0.307009 5.24824e-05 0.486699 0.306942 3.97515e-05 0.486778 6.66773e-05 1.27309e-05 -7.86652e-05
0.201 0.307009 5.48403e-05 0.486701 0.306942 3.97515e-05 0.486778 6.67668e-05 1.50888e-05 -7.68422e-05
0.202 0.307009 5.16065e-05 0.486701 0.306942 3.97515e-05 0.486778 6.70788e-05 1.1855e-05 -7.74362e-05
0.203 0.307011 5.42686e-05 0.486701 0.306942 3.97515e-05 0.486778 6.88371e-05 1.45171e-05 -7.69271e-05
0.204 0.307009 5.27992e-05 0.486704 0.306942 3.97515e-05 0.486778 6.72765e-05 1.30477e-05 -7.43519e-05
0.205 0.307011 5.45815e-05 0.486702 0.306942 3.97515e-05 0.486778 6.8582e-05 1.48301e-05 -7.56934e-05
0.206 0.30701 5.28299e-05 0.486703 0.306942 3.97515e-05 0.486778 6.82116e-05 1.30784e-05 -7.48926e-05
0.207 0.307009 5.50984e-05 0.486701 0.306942 3.97515e-05 0.486778 6.71601e-05 1.53469e-05 -7.73029e-05
0.208 0.307011 5.1639e-05 0.486703 0.306942 3.97515e-05 0.486778 6.90274e-05 1.18875e-05 -7.48507e-05
0.209 0.30701 5.09312e-05 0.486702 0.306942 3.97515e-05 0.486778 6.76394e-05 1.11798e-05 -7.62714e-05
