O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z pos_x pos_y pos_z bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y error_ana_x error_ana_y error_ana_z error_ana_rx error_ana_ry error_ana_rz 
0.99999 -0.000163357 2.26947e-06 0 -0.000117116 -0.707101 0.707099 0 -0.000113907 -0.707106 -0.707108 0 0.306977 -0.148874 0.54847 1 -0.0810298 0.153677 0.0311096 -0.0141588 0.0113783 -6.58517e-05 0.306969 -0.148861 0.548497 5.73031e-06 0 0 0.306977 -0.148874 0.54847 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000113908 0.000117117 8.06109e-06 -1.33933e-05 -2.7514e-05 -1.81971e-07 -4.29108e-05 -4.50592e-05 
0.99999 -0.000162011 -2.46975e-06 0 -0.000112813 -0.707101 0.707099 0 -0.000116306 -0.707105 -0.707108 0 0.306979 -0.148872 0.548467 1 -0.113509 0.0445579 0.0620118 0.00216196 0.0197622 3.69874e-06 0.306969 -0.148861 0.548497 6.10474e-06 0 0 0.306979 -0.148872 0.548467 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000116308 0.000112814 9.75285e-06 -1.10269e-05 -3.06149e-05 6.9209e-07 -4.53099e-05 -4.93623e-05 
0.99999 -0.000157741 -4.83254e-06 0 -0.000108123 -0.707102 0.707098 0 -0.000114958 -0.707105 -0.707109 0 0.30698 -0.148872 0.548468 1 -0.130312 0.0181886 0.030787 0.00125415 0.0244924 9.35108e-05 0.306969 -0.148861 0.548497 6.49095e-06 0 0 0.30698 -0.148872 0.548468 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000114959 0.000108124 1.09849e-05 -1.1076e-05 -2.94574e-05 1.21196e-06 -4.3961e-05 -5.40526e-05 
0.99999 -0.000161907 1.47094e-06 0 -0.000115526 -0.707102 0.707098 0 -0.000113446 -0.707105 -0.707109 0 0.306981 -0.148874 0.548469 1 -0.091418 0.0585727 0.000989978 -0.00702281 0.0167841 -5.26329e-05 0.306969 -0.148861 0.548497 6.88892e-06 0 0 0.306981 -0.148874 0.548469 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000113447 0.000115527 1.19276e-05 -1.26086e-05 -2.84639e-05 1.12202e-06 -4.24496e-05 -4.66494e-05 
0.99999 -0.000169554 -1.31514e-06 0 -0.000118963 -0.707103 0.707097 0 -0.000120823 -0.707104 -0.70711 0 0.306982 -0.148875 0.548467 1 -0.268704 0.0624449 0.0569545 -0.0011006 0.0517336 4.39154e-05 0.306969 -0.148861 0.548497 7.29864e-06 0 0 0.306982 -0.148875 0.548467 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000120824 0.000118964 1.23416e-05 -1.41207e-05 -3.03313e-05 2.68605e-06 -4.98268e-05 -4.3212e-05 
0.99999 -0.000161345 -1.0266e-05 0 -0.000106829 -0.707102 0.707098 0 -0.000121348 -0.707105 -0.707108 0 0.306983 -0.148873 0.548464 1 -0.363266 -0.0343877 0.131971 0.0195278 0.070683 0.000318676 0.306969 -0.148861 0.548497 7.72011e-06 0 0 0.306983 -0.148873 0.548464 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000121349 0.00010683 1.31974e-05 -1.15304e-05 -3.38658e-05 9.74487e-07 -5.03515e-05 -5.53463e-05 
0.99999 -0.000165845 -7.52855e-06 0 -0.000111947 -0.707102 0.707098 0 -0.000122594 -0.707105 -0.707109 0 0.306983 -0.148875 0.548465 1 -0.278046 0.0102776 0.0606077 0.005681 0.0523492 5.17675e-05 0.306969 -0.148861 0.548497 8.15333e-06 0 0 0.306983 -0.148875 0.548465 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000122596 0.000111948 1.346e-05 -1.39954e-05 -3.2581e-05 1.45647e-06 -5.15979e-05 -5.02284e-05 
0.99999 -0.000155124 -1.42201e-05 0 -9.96349e-05 -0.707104 0.707096 0 -0.000119745 -0.707103 -0.70711 0 0.306984 -0.148873 0.548463 1 -0.169864 -0.0149179 0.0574145 0.00961845 0.0309002 0.000292609 0.306969 -0.148861 0.548497 8.59828e-06 0 0 0.306984 -0.148873 0.548463 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000119746 9.96358e-05 1.43897e-05 -1.20963e-05 -3.40607e-05 3.80085e-06 -4.87487e-05 -6.25405e-05 
0.99999 -0.000153283 -1.3751e-05 0 -9.86639e-05 -0.7071 0.7071 0 -0.000118112 -0.707107 -0.707107 0 0.306985 -0.148872 0.548465 1 -0.124566 -0.039827 0.0139232 0.00708047 0.024238 0.000251323 0.306969 -0.148861 0.548497 9.05496e-06 0 0 0.306985 -0.148872 0.548465 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000118113 9.86648e-05 1.56318e-05 -1.10871e-05 -3.28345e-05 -1.19168e-06 -4.71153e-05 -6.35116e-05 
0.99999 -0.000164431 -1.93985e-05 0 -0.000102554 -0.707105 0.707095 0 -0.000129987 -0.707101 -0.707112 0 0.306983 -0.148877 0.548461 1 -0.224001 0.0489245 0.0859378 0.00529486 0.039597 0.000157694 0.306969 -0.148861 0.548497 9.52335e-06 0 0 0.306983 -0.148877 0.548461 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000129989 0.000102555 1.36902e-05 -1.57146e-05 -3.64759e-05 6.35012e-06 -5.8991e-05 -5.9621e-05 
